Наименование;Цена
Клавиатура Exegate EX287402RUS Комплект беспроводной MK330 (кл.104кл+мышь 1000 3кн;10
Конекторы и Разетки;
Калпачок 5 ранг;0,01
Конектор RJ45   ( 100 донага );5
Розетка  RJ45  Сат 6  1 Выход;2
Розетка  RJ45  Кришка;1,5
Конектор RJ45 Железный сквозной;0,03
Розетка  RJ45  Сат 6  2 Выход;2
Куллеры;
Кулер Segotep cooler К6;17
Кулер Segotep water cooler 240S RGB;46
Кулер Segotep water cooler 360S RGB;60
Кулер INTELL 1700;8
Кулер Segotep 120S Водиной 1 куллера;33
Кулер 360 водянка;100
Куллер Вал Валак;3,5
Кулер С20   1700;4
Кулер 240 водянка китай;65
Кулер INTELL 775;4
Манитор LCD;
Монитор 34 AOC CU34G10X curved;300
Монитор 27 ASUS TUF GAMING;360
Монитор 19 DAHUA DHI-LM19-A200 FHD FHD;35
Монитор 24 HP S5 524SW FHD;125
Монитор 24 HP V24v G5 FHD Display;95
Монитор 22 M22F;130
Монитор 27 Philips 27E2N1100 IPS 120HZ;95
Монитор 34 Philips 34B2U3600C-93 curved;400
Монитор 24 SHARP LC-24LE155M;90
Монитор 24 Philips 24E2N1100 IPS 120HZ;79
Монитор HP MONITOR P34HC G4 WQHD USB-C;420
Монитор LENOVO Legion R27fc-30;230
Монитор LENOVO Legion R27Qc-30;280
Монитор 24  RedMi 1A 23.8 P24FBB-RA 1080P 100Hz;80
Монитор 27 RedMi 27 X27A 1080p 120Hz;95
Монитор 34 RedMi G34WQ 2026;250
Монитор 27 RedMi G27U 2024;250
Монитор 24 RedMi G25 1080p 200Hz 1ms FastIPS HDR400;110
Монитор 27 RedMi G27Q 320HZ;200
Монитор 27 RedMi G27Q 240Hz 2026;170
Монитор 27 RedMi G pro 27U 2025miniled 4k 160Hz;400
Монитор 27 RedMi mini-led G PRO 27Q;230
Монитор 24 RedMi G24Q 2026;135
Монитор 24 DELL E2423H-60.5CM-23.8 - 3YR;130
Монитор 27 HKC;180
Монитор 24 PHILIPS 242M8;160
Материнские  Платы;
Материнка Asus  B760 M-F;95
Материнка ASUS Z790-P;210
Материнка Gigabyte B760 М E;85
Материнка Gigabyte B760 М Н DDR4;80
Материнка Gigabyte H610 DDR4;65
Материнка Gigabyte Z890M  AORUS  ELITE WIFI7 ICE;250
Материнка Китай  H61  Esonik;17
Материнка Китай  H610 Esonik;49
Материнка Китай  H81 Esonik;23
Материнка Gigabyte B760 М K DDR 4;80
Материнка Asus H610 M G D4;75
